directory drwxr-xr-x 755 0 root 0 root 4096 1779517114 /usr/share/wazuh-indexer/certs
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 339045 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-buffer-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 355199 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-codec-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 674362 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-codec-http-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 490985 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-codec-http2-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 121032 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-codec-socks-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 719225 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-common-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 580162 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-handler-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 25650 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-handler-proxy-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 37842 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-resolver-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 521428 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-transport-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 44157 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/netty-transport-native-unix-common-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 60966 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/objenesis-3.0.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 194956 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/opensearch-performance-analyzer-2.19.1.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 342056 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/performance-analyzer-commons-1.6.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1952 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/plugin-descriptor.properties
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1360 1746010633 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/plugin-security.policy
directory drwxr-x--- 750 1000 wazuh-indexer 1000 wazuh-indexer 4096 1756728250 /usr/share/wazuh-indexer/plugins/opensearch-security
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 30305 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/accessors-smart-2.5.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 57672 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/aggs-matrix-stats-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 126093 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/asm-9.7.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1123385 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/bcpkix-jdk18on-1.78.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 8324427 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/bcprov-jdk18on-1.78.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 13814 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/blake2b-2.0.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 238620 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/checker-qual-3.48.3.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 75479 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/commons-cli-1.9.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 372800 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/commons-codec-1.17.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 751914 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/commons-collections4-4.4.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 657952 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/commons-lang3-3.14.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 61829 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/commons-logging-1.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 257863 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/commons-text-1.13.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 116051 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/compiler-0.9.14.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 184772 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/cryptacular-1.2.7.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 44118 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/eventbus-java-3.3.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 4740 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/failureaccess-1.0.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 277733 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/google-java-format-1.25.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 3080298 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/guava-33.4.0-jre.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 181512 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/httpasyncclient-4.1.5.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 785639 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/httpclient-4.5.14.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 164023 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/httpclient-cache-4.5.14.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 327891 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/httpcore-4.4.16.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 368896 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/httpcore-nio-4.4.16.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 25789 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/istack-commons-runtime-4.2.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 9301 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/j2objc-annotations-2.8.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 78494 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/jackson-annotations-2.18.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1658755 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/jackson-databind-2.18.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 68453 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/jakarta.activation-1.2.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 131033 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/jakarta.xml.bind-api-4.0.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 15413 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/java-saml-2.9.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 141445 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/java-saml-core-2.9.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 324610 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/java-support-8.4.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1019097 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/jaxb-runtime-2.3.9.jar
