USER                PID                 %CPU                %MEM                VSZ                 RSS                 TTY                 STAT                START               TIME                COMMAND
root                2963353             0.0                 0.0                 137516              31096               ?                   S                   08:19               0:00                samba: tfork waiter process(206)
root                2963355             0.0                 0.0                 136260              36752               ?                   S                   08:19               0:00                samba: task[ldap] pre-forked worker(1)
root                2963357             0.0                 0.0                 137516              31096               ?                   S                   08:19               0:00                samba: tfork waiter process(208)
root                2963360             0.0                 0.0                 136260              36752               ?                   S                   08:19               0:00                samba: task[ldap] pre-forked worker(2)
root                2963361             0.0                 0.0                 137516              31096               ?                   S                   08:19               0:00                samba: tfork waiter process(210)
root                2963363             0.0                 0.0                 136260              36752               ?                   S                   08:19               0:00                samba: task[ldap] pre-forked worker(3)
root                2971191             0.0                 0.0                 25356               3608                ?                   Sl                  08:19               0:00                /var/ossec/bin/wazuh-execd
syslog              2971544             0.0                 0.0                 181676              8104                ?                   Sl                  08:19               0:00                /var/ossec/bin/wazuh-agentd
root                2971806             0.0                 0.0                 58048               8332                ?                   SNl                 08:19               0:00                /var/ossec/bin/wazuh-syscheckd
root                2971816             0.0                 0.0                 140144              7032                ?                   Sl                  08:19               0:00                /var/ossec/bin/wazuh-logcollector
root                2972308             0.0                 0.0                 4852                3528                ?                   S                   08:19               0:00                /bin/bash /opt/aptl/wazuh/wazuh-agent.sh
root                2985685             0.0                 0.0                 25356               3608                ?                   Sl                  08:20               0:00                /var/ossec/bin/wazuh-execd
syslog              2985693             0.0                 0.0                 181872              9356                ?                   Sl                  08:20               0:00                /var/ossec/bin/wazuh-agentd
root                2985803             0.0                 0.0                 58048               8348                ?                   SNl                 08:20               0:00                /var/ossec/bin/wazuh-syscheckd
root                2985916             0.0                 0.0                 140148              6940                ?                   Sl                  08:20               0:00                /var/ossec/bin/wazuh-logcollector
root                2985930             0.0                 0.0                 191208              7556                ?                   Sl                  08:20               0:00                /var/ossec/bin/wazuh-modulesd
root                2986400             0.0                 0.0                 3200                1768                ?                   S                   08:20               0:00                tail -F /var/ossec/logs/ossec.log
root                2999513             0.0                 0.0                 3168                1788                ?                   S                   08:22               0:00                sleep 5
